        e0     rho0         k0          q0        j0         l0       ksym0
-15.246456 0.159516 226.944512  165.732649 31.992674  28.366747 -110.208081
-16.174666 0.158852 230.508522  148.361917 33.516187  74.460583   88.622336
-16.031275 0.159193 264.926855  274.459723 32.373423  60.192883   84.892999
-15.556091 0.163387 208.583215  206.075117 34.838406  41.329406 -108.119200
-15.807201 0.161917 219.592406  435.048308 32.669486  91.736253  256.602433
-15.770963 0.162108 218.691706  514.607700 33.641034  43.315734  -85.859626
-16.141447 0.156490 233.346793  157.005928 30.638408  50.605963  -16.083348
-15.489324 0.163386 232.371180  133.478165 31.153614  43.635472  -51.596508
-15.882042 0.167781 242.933243 -118.089154 30.502726  40.656826 -123.136295
-15.833340 0.157204 206.397505  199.660337 32.637165  82.412114  196.854034
-16.076816 0.161556 265.123083  291.725880 32.361885  65.137890   89.756326
-15.818440 0.163053 263.534919  500.141732 31.994135  40.421161  -72.929298
-15.775761 0.159830 241.388143  529.740483 32.489873  38.867429 -102.719638
-15.502807 0.154445 132.019125   88.846808 34.839587  43.907795   29.645424
-16.408548 0.156893 160.070508  106.283437 32.847017  61.512425 -116.261811
-16.008224 0.157940 272.385946  656.619079 30.615333  46.759961 -134.451715
-16.324984 0.151911 231.643218  607.398082 30.698181  54.388657 -100.231672
-16.130894 0.160500 229.673244  171.795076 33.866893  40.606571   16.988926
-16.050132 0.159069 255.277642  691.055545 33.108705  70.576071  120.992305
-15.301805 0.159067 249.939243  596.460805 32.207935  45.721388   44.481816
-16.252772 0.165106 258.712802  222.373580 30.495692  66.940456  128.316556
-16.149810 0.166991 257.501184  273.736190 28.920791  58.487574  -40.650660
-15.789319 0.162215 252.420251  307.000847 30.433013  58.737516 -143.859991
-15.909002 0.162307 245.656137  208.474515 30.382682  72.514903  131.709578
-15.729899 0.162273 271.559182  911.936423 31.914044  53.339746  -70.996844
-15.693273 0.164064 230.282411  540.200463 29.123049  81.303100  235.206685
-15.726162 0.164873 195.282958 -203.626872 30.363181  43.379888   13.412430
-15.909368 0.163035 255.955616  109.801231 28.911191  49.588483   50.684061
-16.109643 0.167223 229.230581  -69.737784 32.518478  38.553366  -75.723701
-15.964232 0.165401 223.786746  467.301832 30.494603  38.166508  -62.335444
-15.473128 0.150176 261.656787 -116.646886 31.759875  25.269026 -226.229725
-16.056976 0.161533 253.060506  434.850759 32.551476  38.458258 -100.688402
-16.313738 0.166691 249.694179   18.514474 34.610463  58.362130  203.213642
-15.825059 0.161722 239.257655  352.664482 33.422514  43.172576 -135.218126
-15.700747 0.156646 213.397723  -55.320142 34.034796  45.177248 -204.842407
-16.151456 0.157520 230.723598  170.805694 32.341191  49.124616  -24.205595
-15.818379 0.166099 278.878965  516.665033 32.513501  47.229020  -76.993801
-15.980785 0.154541 234.024055  308.330646 31.186354  64.612937  -36.564734
-16.021703 0.153962 194.597045    1.077633 33.404793  59.903931   -0.508121
-16.355225 0.151223 233.983404  390.164832 31.026036  60.888607   76.858245
-15.933250 0.160705 236.461079  275.408041 30.660646  34.145328 -119.356949
-15.941701 0.150750 239.761631  402.387774 32.524278  51.661759  -31.488883
-15.689711 0.162701 248.028434  559.956449 32.041083  37.976921   15.115426
-16.189824 0.171742 222.479235  378.213085 32.813841  50.506272  -74.002516
-16.029493 0.161792 180.678763  242.229440 32.190354  39.639611  -45.270014
-15.758385 0.164895 207.295961  515.237487 32.841762  79.978735    0.871002
-16.013117 0.162202 161.529926  255.260109 33.004012  83.336272  203.520179
-16.140166 0.167547 201.828041  551.447041 34.323131  34.303964  -28.576809
-15.683163 0.166349 193.038824  303.134191 30.712590  36.825046  -34.710319
-16.004305 0.157718 201.436225  116.958682 31.610849  75.829942  108.300162
-15.963036 0.162311 292.683027  722.850544 32.879477  48.435223 -109.199192
-15.843957 0.156656 194.762348   86.276773 32.133708  74.625594  122.598193
-16.014342 0.161969 250.248363  328.145709 31.538287  74.929808  124.379967
-16.090561 0.156746 150.598436   56.561038 35.673666  46.655705  -26.118966
-16.151792 0.162959 201.303112  256.298314 33.318867  92.400841  210.325718
-15.684211 0.160775 236.517108 -175.769899 32.900208  56.041134 -152.813133
-15.714638 0.157944 245.346976  565.974147 31.838086  37.255132  -81.379964
-15.721979 0.158431 212.406106 -127.925081 34.995867  49.574726 -222.365778
-15.934562 0.163882 244.532761  193.502862 28.887884  34.674130 -123.935477
-15.733839 0.166040 225.504381   41.239789 33.311838  43.802773   11.499379
-15.903887 0.158658 204.455841  228.743520 31.811679  27.446571  -78.266323
-15.825678 0.163027 183.193048  320.333145 34.529554  46.822573  -47.332268
-15.551468 0.163524 275.468635  477.905496 32.375823  76.555098  -52.817124
-15.533300 0.160381 223.013517  177.727907 30.997890  32.445080  -82.615311
-15.749768 0.157979 252.173346  566.038753 29.925835  40.516716  -78.057666
-15.592603 0.169973 241.607262  -47.101755 32.761583  51.268602  -73.210020
-15.953188 0.166855 183.205056  476.089162 32.492943  55.585289    8.472973
-15.869169 0.165081 222.462099  109.415438 29.524409  78.481923  161.028273
-16.055052 0.149224 263.946805  608.912261 30.891058  39.038370 -118.029942
-15.582156 0.166889 263.481554  327.137605 36.618757  57.525892  -67.401143
-16.071272 0.155189 202.164440   36.884405 33.072342  70.525315  -56.696842
-15.747218 0.161979 217.306286   88.961879 36.669471  41.540255 -133.220624
-15.976608 0.158882 252.669491  305.753123 33.580574  55.247874  -70.337068
-15.963807 0.159801 174.821667  450.125135 32.998780  66.428750   87.696959
-16.042179 0.156137 254.433813  501.940242 32.254446  57.108515    0.631200
-15.615593 0.161532 230.128878  -72.367534 27.736406  46.606432 -208.399428
-15.946603 0.153801 248.738693  424.660152 33.750095  55.609530  -39.176196
-16.158526 0.158308 189.662310   -8.676791 29.598550  37.260928 -118.290192
-16.207690 0.158753 228.414667  108.305518 31.385982  39.683707  -90.621356
-15.946367 0.166270 258.961736   73.649266 33.592009  66.566974  149.420362
-16.112666 0.160890 233.007519  212.615160 33.669720  49.954643 -150.575957
-15.737584 0.152696 210.793012  248.360269 33.278860  74.558401   42.605608
-16.283396 0.161863 213.345993  138.898075 33.079818  34.126537 -104.328971
-15.806576 0.163055 212.617065 -197.498022 33.928739  49.946968  -76.483598
-16.400298 0.155642 239.870650  263.531754 33.195987  46.332936    3.068303
-15.744044 0.158596 214.408906  168.612109 32.654811  38.232416  -30.965987
-16.264731 0.160103 255.461048  315.581560 32.357216  55.485147  -73.141304
-15.928873 0.159861 213.887737  636.769568 33.802240  28.850552  -39.245809
-15.994915 0.162228 228.150272   83.594701 34.600773  77.724469   68.328050
-15.993880 0.156841 191.003674 -168.596015 33.367300  40.957429  -49.519698
-15.768582 0.160167 185.100884   89.794490 31.124899  46.990082 -101.603377
-15.878325 0.155135 187.288568 -130.953081 33.148244  34.636330 -109.737905
-16.227705 0.159887 218.396891  -11.644998 31.332162  50.864101  -72.615875
-16.059330 0.159038 140.377281   52.568261 30.748711  59.377468  -46.392094
-16.107112 0.163171 231.628231  857.210855 32.774533  48.177420  -16.488516
-15.848955 0.161681 242.297781  166.752944 32.920549  53.694628  -88.760340
-16.153131 0.160236 191.148976  298.647791 29.354467  87.314266  188.628617
-15.746333 0.159807 267.979812  550.087749 32.174330  44.866495 -112.532310
-16.200045 0.156576 261.090503  146.812562 31.141115  34.384616 -154.661419
-16.010531 0.154224 268.585551 -259.464105 31.802970  26.063367 -259.833608
-16.054305 0.157092 326.400266  677.564482 33.519971  44.061499 -187.307026
-15.842783 0.163047 181.188698 -334.420960 32.641222  69.412788  109.143185
-15.989592 0.159223 192.347919  -81.758521 34.569238  76.697230   67.444854
-15.763743 0.164632 182.325316 -342.310993 33.891710  52.474963   13.862027
-16.331075 0.164644 225.550200   56.990337 34.353000  79.613227   75.655078
-15.727575 0.161487 216.813302  583.700526 30.968919  81.112247  229.539599
-16.267100 0.164691 208.855045  418.889630 31.864657  90.214885  241.900746
-15.761643 0.153935 246.927750  456.662249 33.431167  67.476188  -21.624051
-15.823711 0.155423 217.831429  221.200387 32.205538  61.398932  -56.746938
-15.744045 0.163063 257.160132  342.224309 36.076355  51.344954  -92.537351
-15.930224 0.169030 284.567207  169.389622 32.546615  52.767727 -194.819981
-16.547008 0.163259 293.134450  313.483098 32.927703  46.432847 -204.286989
-16.584442 0.163095 238.806440  625.599710 32.655693  86.952587  143.621516
-16.338396 0.157810 261.011852  371.784624 32.945306  39.485389 -141.184953
-15.769289 0.164234 265.957521  532.322478 33.760586  80.787093   79.654227
-16.367813 0.152589 214.203383  126.766731 32.110502  51.266245  -86.859061
-16.201089 0.155040 263.582367  290.275687 32.110821  36.961165 -175.966886
-16.097163 0.163321 273.634629  457.588922 34.631047  74.752600  -11.215930
-16.304427 0.157677 209.210003  554.963538 31.064169  80.212508  210.249707
-16.261259 0.162174 264.423349  961.813096 34.170706  95.083016   93.318729
-15.827900 0.159956 236.732119  684.229979 32.022813  83.142957  126.032339
-15.666192 0.161325 242.893508  284.024211 35.458585  84.795826  134.222519
-16.153491 0.161734 263.991477  267.397629 35.853134  65.878031  127.176451
-15.581386 0.158149 281.965580  708.420026 30.987819  47.247999  -56.423121
-15.888115 0.157501 215.485855  -58.743180 34.451481  54.085550  -96.052525
-15.843218 0.154404 237.316276  338.488223 31.575133  55.033437 -141.358375
-15.649697 0.163662 267.837865  445.288054 34.579642  55.210875  -68.845193
-15.877545 0.153026 191.047578    2.962668 31.741661  49.531624  -43.815550
-16.322568 0.159657 187.390521   22.806266 34.832503  53.836418 -158.566851
-15.781592 0.165173 188.251987   27.702888 30.679347  39.264176  -73.406561
-16.195030 0.167438 227.712838  936.176262 35.611727  81.066151  184.731196
-16.087592 0.160741 215.261545  358.884116 31.979080  60.473988  -95.079615
-16.531843 0.156100 240.849853  365.740976 31.834321  38.176512 -121.762430
-15.613718 0.156846 224.667138 -146.685840 32.317262  57.298694 -153.371591
-15.760909 0.157959 188.401646  -47.197942 34.356300  79.651177   68.723931
-15.900454 0.151561 186.901406  208.680079 30.481651  52.315106 -116.282903
-16.103575 0.157318 194.640859 -194.995656 31.515036  38.420649 -155.836836
-15.984879 0.158197 238.289577  600.733389 33.090143  69.021134  174.918621
-15.857065 0.150796 246.455846  715.350820 36.256028  61.026684   62.253282
-16.244025 0.161594 229.617293  136.245781 29.392072  61.985898  -62.130725
-16.192715 0.152182 196.239650  200.669069 33.201591  73.305321   63.455169
-16.199806 0.165541 196.771431   98.921178 30.520811  42.295099  -91.168564
-16.163857 0.157536 143.615340 -398.307650 30.452810  45.260655 -146.745287
-15.600669 0.152482 144.135903  185.788320 32.960585  60.496150  -18.718829
-15.962802 0.156474 188.257830  554.312675 35.470456  84.156521  178.795004
-16.207068 0.159290 191.733584 -113.867961 33.259546  67.834641  157.446015
-16.272644 0.166961 271.047309  334.430774 31.820145  75.216618  -19.006015
-15.772265 0.165383 243.900706  150.147124 32.699844  42.101579 -141.519394
-16.026298 0.157983 285.004077  209.204153 32.425330  53.708337 -133.013170
-15.995242 0.159210 196.609157  -98.771940 35.321596  52.285546 -194.490030
-15.740255 0.162146 190.066448 -244.399604 34.688139  59.638862  -23.910312
-15.834512 0.159280 255.305965  533.668327 30.684868  45.752339 -106.230151
-15.905623 0.167984 254.876316  659.541173 31.824642  39.629818  -36.868024
-15.978270 0.162861 227.096684  310.597010 30.727914  86.863480   95.548214
-16.381420 0.165495 195.215106 -173.782242 30.918315  78.257572   46.850913
-16.091459 0.157496 232.478021  899.736975 31.105973  83.480234  106.382626
-15.586783 0.157158 290.797499   79.186729 29.111899  38.785795 -158.705509
-15.998165 0.163708 205.324770  206.479773 34.313699  37.061714  -91.344974
-16.007972 0.162588 247.986431  753.175259 33.756861  62.596175  180.584129
-16.124741 0.163159 242.206601   76.928615 31.248395  47.763253   75.911245
-16.269773 0.159294 263.908291  892.398609 34.495689  49.353850  -78.579739
-15.662395 0.157069 228.659111  146.585833 33.560781  62.001701  154.530597
-15.843583 0.160950 173.909684  289.248216 33.106762  81.233437  209.291642
-16.277612 0.156225 230.223225  200.569277 31.758792  61.792482   60.059213
-15.929820 0.156034 172.384045  322.317974 34.878368  77.178292  209.757029
-15.900018 0.153237 238.254192  464.802694 30.401291  49.611139   38.379600
-16.111794 0.163215 261.548559  441.355109 33.050073  48.878588 -138.844439
-15.700411 0.156816 228.438238  232.278359 33.499410  59.075149  -63.577634
-15.872954 0.161285 269.907806  933.000450 31.793381  63.190404  104.016973
-16.445875 0.167925 183.432309  255.284394 32.633740  41.079468  -15.323943
-15.895115 0.158553 221.448348  566.286499 30.484371  76.410789  185.233228
-15.707661 0.165067 212.282854   51.416226 34.271319  37.641128  -53.887603
-15.882197 0.156387 231.305603  280.853284 33.495462  73.545120   87.584765
-15.805361 0.164066 280.068364  118.463890 33.000018  50.029163 -133.720395
-15.649307 0.159945 234.850480  116.302378 32.916497  36.553485 -116.850522
-16.173736 0.150962 313.313771  162.596594 31.422095  51.904684 -178.424632
-16.028962 0.155754 187.537709   45.691795 32.411172  75.097632   30.639693
-15.957766 0.167426 261.462068  403.465671 34.741909  89.888669  102.818697
-16.368462 0.150356 205.920228   35.424828 32.252927  39.727232 -181.865467
-15.431546 0.165574 269.518276  597.628090 33.279685  46.161144  -88.475446
-15.952282 0.164906 259.717955  605.334022 33.215214  49.689357 -101.489750
-16.252052 0.164331 245.072109  125.579021 33.395704  50.995049   56.372852
-16.170065 0.155067 231.173309  682.292424 32.921544  85.972361   60.051964
-15.812113 0.157312 179.612952 -120.455162 31.651082  66.482964   67.254167
-15.968744 0.163833 229.165498  392.532920 31.656602  65.920610  -92.379978
-15.639672 0.158426 143.653335   -8.849968 30.783781  78.529348  148.269152
-16.068294 0.162695 240.586354  144.780579 28.833576  42.179083  -90.884737
-16.023159 0.165420 260.532540  192.517466 33.917618  55.380429   35.737841
-16.012973 0.158340 216.497371   97.644465 33.292410  31.770360  -89.479276
-16.254109 0.154096 243.652368  506.318441 31.809162  55.451625   70.914290
-15.798725 0.160876 182.537811 -114.015643 30.754840  39.202626  -69.579011
-16.004520 0.155796 211.618177   63.394585 35.541393  49.700898  -42.287614
-16.216233 0.162351 251.231273  -29.672895 30.613967  47.347223 -136.830721
-15.837828 0.157356 250.507169  296.398928 36.335712  66.743017   69.591692
-16.146041 0.156346 256.322683    8.948777 31.551719  31.911501 -190.271426
-16.324507 0.158433 248.750975  666.005162 31.503895  53.169855  -93.128466
-15.878573 0.159515 257.070657  316.019405 35.246771  66.129477  -36.747011
-15.988643 0.161322 184.761402  366.927353 33.929722  67.232067    3.331042
-16.064293 0.160009 247.215597  320.146123 35.475395  81.318547  -55.908680
-15.812806 0.153636 233.404799  579.117623 34.312300  66.961993  140.455145
-15.892831 0.155602 200.522198  108.746096 33.331245  72.271455   37.051702
-15.804111 0.159860 257.901801  306.535525 33.476262  50.079710   63.251137
-15.775380 0.156306 249.930310  615.570149 31.956824  42.801648    0.881636
-15.642841 0.159823 130.165776    2.695149 32.828558  81.221027  150.579312
-15.382013 0.162206 233.555038 -130.661099 34.529008  51.501777 -140.400063
-16.405006 0.157580 221.276513  465.560081 34.743928  76.697224  -82.993696
-15.757739 0.158596 245.655588  267.307317 29.968587  50.823565  -73.518398
-15.623233 0.159837 227.817478  302.992949 32.150951  43.952074 -119.697630
-16.162397 0.153597 187.280976    3.121990 29.959265  54.011413  -33.480998
-16.183314 0.163813 222.520844   62.069291 30.708928  35.514172  -82.644885
-15.768811 0.163393 245.827266 -201.834923 34.572623  46.271367 -240.464337
-15.875723 0.149960 250.661493  584.348813 28.486743  39.424140  -77.623831
-15.683407 0.168300 190.186976 -109.101694 31.015873  81.918809   60.456564
-15.923889 0.161980 242.647272  138.236321 31.559900  42.053232 -149.216788
-15.836142 0.156185 244.094135  765.225970 33.153734  66.154856  128.921493
-16.172789 0.167876 243.448500  140.713106 33.840612  79.351263  205.757860
-16.074786 0.164233 168.083035  113.290068 34.297028  59.131976  -35.174862
-15.721498 0.156622 203.429815  250.669221 31.254771  78.624566  188.771991
-15.987108 0.170432 247.587145  299.510533 30.946449  46.474919    9.955732
-16.268417 0.162176 206.387510 -114.001272 34.464982  64.623818   28.045930
-15.821381 0.155342 222.516233  552.775689 33.991908  79.134837  182.502697
-15.875484 0.155604 234.208673  -80.255181 30.434413  44.603771 -148.501479
-15.899437 0.164085 192.053846  379.892543 32.777887  90.569078  160.639353
-16.028575 0.155351 195.200179  446.644642 30.599995  75.177286   40.270076
-16.246828 0.166017 249.731597  311.532103 33.861255  45.603742  -96.447787
-15.777998 0.162540 250.222620  235.971863 34.302540  44.002465 -109.392023
