        e0     rho0         k0          q0        j0         l0       ksym0
-15.964989 0.159903 242.628764  -82.619518 33.717627  60.992527  342.036143
-15.957138 0.153432 255.531300  118.951864 33.019042  33.351707  106.263936
-16.135300 0.151303 193.205806  611.570674 32.022492  77.525342  -36.592456
-16.145853 0.170755 170.758010  129.633554 33.605391  34.984466  -70.400979
-16.294701 0.158400 227.977086   24.317819 29.715852 104.175200 -224.000027
-16.278963 0.160438 211.071492  564.724520 32.719060  45.944520  -79.663209
-16.600216 0.156997 275.103858  789.249110 31.498801  41.222615 -143.599674
-16.499190 0.158693 159.573680  402.533926 31.748450  58.405424    3.235474
-15.882233 0.168489 217.994157 -680.210788 34.076340  81.400149   13.376543
-16.336007 0.158564 235.740613  304.274237 31.049966 103.193106  -76.223861
-16.063638 0.170045 283.488527  222.948678 31.918445 100.657109  -65.901773
-16.337237 0.159103 196.807429 -312.039932 33.836605  21.622782 -170.604254
-15.767994 0.164234 196.025576 -796.871820 29.318565  44.636574 -177.214981
-15.786004 0.154817 203.719723  -87.617775 31.345680  83.261167  -24.782915
-15.714753 0.157445 248.473189 -161.948857 32.338922  76.204784 -142.572246
-15.665072 0.155984 254.140820  294.495011 34.325346  71.176195  -31.542859
-16.161084 0.153827 197.833221  402.335039 34.838595   1.421580   -7.618295
-15.997798 0.156788 248.291802  223.651010 29.328806  37.207990  -54.601741
-16.285371 0.164118 229.329443  839.604051 33.205659  16.113694   24.459507
-15.514766 0.169528 221.074881  412.456543 32.327167  52.043342  -95.071979
-16.167704 0.154164 201.103392  500.020143 31.687887  20.055813  -75.649885
-15.654146 0.155789 226.373659   52.470431 29.396096  29.628238   15.255500
-16.121218 0.154890 259.772494   35.573471 32.182911  37.928590 -251.890895
-15.722273 0.161763 171.401200   40.556346 36.105564  42.418420 -115.841877
-15.941666 0.162628 223.397326  592.947747 32.814871  12.972249   40.458051
-16.272583 0.160487 272.995664  296.421281 31.396892  38.410803  -94.031632
-16.017053 0.164944 214.678852  520.041217 31.936183  27.347460  274.914629
-15.749282 0.163966 264.426205   72.557971 35.448428  45.798352  -75.617974
-16.462513 0.158723 209.285327  432.334206 31.278464  44.223376  -88.207164
-15.894835 0.164775 281.525718  315.908777 35.469693  46.663484  163.653825
-16.188377 0.158854 264.408549  271.204729 32.274663  54.944903  -67.055601
-16.129760 0.160541 247.085550  574.392858 30.082823  74.330595  222.456286
-15.684866 0.161199 284.267233  145.913090 34.091559  55.021453  155.656711
-15.967936 0.158584 303.677013  524.314163 31.877578  58.360102 -102.765158
-15.589180 0.153969 283.764623  843.029125 33.100668  41.390145 -146.109158
-15.904434 0.154944 234.682566  294.023890 30.785502  28.505162   73.475432
-16.245877 0.162881 168.468141 -238.095128 32.651106  32.316206 -116.886032
-16.078286 0.165117 192.900662  580.795491 32.970254  66.249713   -4.038920
-15.987854 0.154389 243.174157  193.717006 28.675362  56.016159   75.016690
-16.336999 0.163023 217.699653  108.525854 31.882558  96.241001 -196.100037
-15.642009 0.157431 264.452472  196.845973 34.371180  98.082286 -145.760742
-15.875724 0.154569 264.087067  246.435035 33.170124  27.380161 -202.357308
-16.140239 0.154519 220.636404  592.072460 32.050264  23.948829  131.521262
-16.013098 0.160436 258.350753 -104.934641 36.080323  86.429077 -169.629715
-16.412185 0.148897 210.583961 -105.413761 34.794487  22.106973 -199.186321
-16.091886 0.165185 180.551191   42.788737 32.602886  33.409290  -89.656837
-15.933890 0.161786 257.355258  688.598387 34.037559  52.262943 -124.405417
-15.954753 0.163198 228.834931   90.441536 30.703322 105.079879 -174.823158
-16.275206 0.153340 264.879060  216.120815 34.755926  37.081121 -138.936626
-15.663171 0.166175 270.728965  630.015498 34.086815  40.557922 -121.288031
-16.282721 0.153715 249.831633  562.204109 32.418179  47.342552  153.933731
-15.623640 0.157814 213.442186   -9.292007 32.081524  64.557730  -34.375479
-16.150292 0.166570 263.424985  203.472657 33.844024  38.782645  227.200803
-16.152403 0.166813 265.566524  141.773271 29.691403  59.613813   -2.423884
-16.079030 0.158212 196.538669  140.589610 32.079095  90.633271  -13.322001
-15.865905 0.151657 197.220085 -180.264174 31.882285  44.071180  -90.245734
-15.540587 0.157176 216.123695   43.919954 32.401732  41.876567    9.601070
-15.857648 0.155262 192.402512  443.724004 31.198848  81.514212   -0.781828
-16.036299 0.149368 241.107028  564.611081 32.800762  40.952980   67.061010
-15.742173 0.157084 230.943256  677.068933 31.946045  33.987760  159.887046
-16.077121 0.164985 186.500459 -485.352116 31.945739  36.738645  -45.146383
-16.255307 0.161488 228.493979  179.068849 33.545586  56.645882 -172.948420
-15.954216 0.167107 264.321206  102.558242 33.186604  59.829100 -225.839251
-15.927094 0.153361 242.402623  121.579681 33.232384  52.395711   51.670760
-16.196942 0.153338 190.701958 -111.173449 31.726943  66.464587   91.873470
-15.930870 0.157798 273.200428  267.848332 31.073961  74.851678 -197.697841
-15.994365 0.158264 181.032628  376.052048 35.593808  87.850234   19.565785
-16.120803 0.159136 231.869040   83.175700 33.377052  38.269858   27.537541
-15.817702 0.160281 176.435494 -173.866648 31.570393  47.797883 -180.123211
-15.855271 0.164633 247.957695  -74.241388 33.189701  52.156706   93.555217
-16.239093 0.171741 192.277878  493.081973 30.187094  84.154410  250.610006
-15.988432 0.155764 180.528722 -122.474068 32.673754  73.466077 -227.857531
-15.857502 0.155024 217.536175   78.485290 33.488022  48.775960  314.075290
-15.662411 0.166948 195.632019  194.479089 34.052768  11.322775   26.860182
-15.984152 0.153105 222.048638  219.407337 33.177229  53.069104 -174.405663
-15.928371 0.163575 206.005117  -28.725382 33.616335  23.759689  -31.924306
-16.030883 0.151647 219.547792  354.050776 32.664801  83.092410 -116.507641
-15.994516 0.163793 211.340882  331.275221 32.541207  16.976498  -53.968637
-15.977266 0.157795 221.757083  206.042355 33.781222  28.327384  158.813151
-15.662116 0.162718 240.521991  642.331577 32.262056  74.427709  257.014456
-16.005589 0.161234 231.451876  596.941793 31.261851  27.117356  -54.055375
-15.575031 0.162545 218.564090 -110.382285 30.676602 100.846716 -186.269584
-16.097698 0.158560 226.383355  432.970296 34.485704  38.762011 -129.268002
-16.198737 0.157674 206.074807   42.203250 31.024024  76.755867   37.439543
-15.894038 0.164153 220.389895   -7.458398 29.174592  40.297864 -159.306698
-15.673996 0.152653 213.413270  124.148822 32.167441  32.953248   -0.231831
-16.178059 0.155450 192.759500  444.327797 32.066896  78.316404  300.227710
-15.838686 0.157303 263.386361  210.704427 34.401855  46.210839  223.590963
-15.850320 0.155875 247.657933  284.972788 32.525788  59.119865 -171.068899
-16.191935 0.159578 245.934413  309.410982 29.361604  72.648754   11.060320
-16.264009 0.157504 256.782820  350.431250 31.243263  71.837221 -157.055789
-15.705199 0.156626 163.609647  233.599916 32.798196  93.766193   54.584213
-15.604779 0.150000 150.805295  -84.618313 29.612295  17.356461  -41.541981
-16.248509 0.166522 248.992622  621.343586 29.202207  37.958312  -41.770968
-16.032962 0.163587 246.713220  -54.937281 36.871892  30.842414 -141.692812
-15.939055 0.167651 226.198141  -65.134348 34.456616  55.459226 -213.311511
-16.364560 0.159818 213.183517  156.801428 34.037149  67.593234  315.374549
-15.807427 0.163656 275.100977  574.068486 29.865473  44.922676  -13.475679
-16.037618 0.149369 215.415893  553.204576 33.492927  31.852090  140.896441
-15.696869 0.159310 255.434418  376.761839 33.863827  39.645878  -92.079152
-16.059164 0.157642 180.896319  405.324846 30.614457   0.761582   20.136914
-15.991571 0.155868 229.523343  149.514342 34.617871  62.348492  236.250857
-15.933703 0.150363 217.561274  440.879668 34.594212  72.555316 -117.589911
-16.121555 0.162367 237.382171  126.354233 32.697167  78.921541  195.599303
-15.435283 0.160919 240.180486  232.974295 35.070007  40.300963   -2.735068
-16.226176 0.159245 219.372359  318.290317 33.667593  26.189527   25.095228
-15.458575 0.160596 224.231032  191.440687 35.888423  52.141386 -164.926803
-16.014585 0.169524 232.330899  104.526372 32.117865  37.340238   31.465064
-16.104034 0.155197 228.654967  248.727838 31.912357  37.064390   15.069253
-15.923561 0.162610 233.913141  264.043713 33.347614  89.911486   38.259048
